category,title,price,product_url,image_urls,downloaded_images
Chairs,Data Dining Chair in Honey Finish,4899.00,https://solidwooddecor.com/products/swd-data-dining-chair,"https://cdn.shopify.com/s/files/1/0598/2375/1277/files/WhatsApp_Image_2025-05-14_at_5.54.24_PM.jpg?v=1747225518, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/WhatsApp_Image_2025-05-12_at_3.29.29_PM_1.jpg?v=1747225518, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/WhatsApp_Image_2025-05-12_at_3.29.29_PM.jpg?v=1747225518, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/WhatsApp_Image_2025-05-12_at_3.29.30_PM.jpg?v=1747225518, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/WhatsApp_Image_2025-05-12_at_3.43.17_PM.jpg?v=1747225518","downloaded_images\Chairs\Data Dining Chair in Honey Finish\WhatsApp_Image_2025-05-14_at_5.54.24_PM.jpg, downloaded_images\Chairs\Data Dining Chair in Honey Finish\WhatsApp_Image_2025-05-12_at_3.29.29_PM_1.jpg, downloaded_images\Chairs\Data Dining Chair in Honey Finish\WhatsApp_Image_2025-05-12_at_3.29.29_PM.jpg, downloaded_images\Chairs\Data Dining Chair in Honey Finish\WhatsApp_Image_2025-05-12_at_3.29.30_PM.jpg, downloaded_images\Chairs\Data Dining Chair in Honey Finish\WhatsApp_Image_2025-05-12_at_3.43.17_PM.jpg"
Chairs,Grill Arm Chair in Honey Finish,6899.00,https://solidwooddecor.com/products/swd-grill-chair,"https://cdn.shopify.com/s/files/1/0598/2375/1277/files/Untitleddesign_1_b5af1022-6ade-45ab-8a41-8f1490a42b27.png?v=1765180084, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/23_133434be-dc7c-4cfd-8036-2670a115e194.png?v=1765180084, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/24_8bbc0171-02f4-41c8-ba62-b671e8cb2b20.png?v=1765180084, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/25_ac12c214-4f48-4ca4-bb49-50053f44e0d9.png?v=1765180084","downloaded_images\Chairs\Grill Arm Chair in Honey Finish\Untitleddesign_1_b5af1022-6ade-45ab-8a41-8f1490a42b27.png, downloaded_images\Chairs\Grill Arm Chair in Honey Finish\23_133434be-dc7c-4cfd-8036-2670a115e194.png, downloaded_images\Chairs\Grill Arm Chair in Honey Finish\24_8bbc0171-02f4-41c8-ba62-b671e8cb2b20.png, downloaded_images\Chairs\Grill Arm Chair in Honey Finish\25_ac12c214-4f48-4ca4-bb49-50053f44e0d9.png"
Chairs,Grill Arm Chair Set of 2 with Table in Honey Finish,18999.00,https://solidwooddecor.com/products/swd-grid-chair-set,"https://cdn.shopify.com/s/files/1/0598/2375/1277/files/WhatsApp_Image_2025-09-09_at_10.42.23_PM.jpg?v=1759758206, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/CQ3A0048.png?v=1759758206, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/2_2_42420bbe-7645-4b76-ad1a-3f145efd5ddc.png?v=1759758206, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/3_1_f469b1c4-7640-4aca-ac73-7b77117e4494.png?v=1759758206, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/2_633a962a-b3a4-4098-b51f-4b0bc5c0acdf.png?v=1759758206, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/Grill_chair_4f347fcb-83cd-4830-a3b7-829c4753477e.jpg?v=1759758206, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/WhatsApp_Image_2025-05-13_at_2.19.53_PM_a81a2f80-3a7e-40fc-8323-303321ae755a.jpg?v=1759758206","downloaded_images\Chairs\Grill Arm Chair Set of 2 with Table in Honey Finish\WhatsApp_Image_2025-09-09_at_10.42.23_PM.jpg, downloaded_images\Chairs\Grill Arm Chair Set of 2 with Table in Honey Finish\CQ3A0048.png, downloaded_images\Chairs\Grill Arm Chair Set of 2 with Table in Honey Finish\2_2_42420bbe-7645-4b76-ad1a-3f145efd5ddc.png, downloaded_images\Chairs\Grill Arm Chair Set of 2 with Table in Honey Finish\3_1_f469b1c4-7640-4aca-ac73-7b77117e4494.png, downloaded_images\Chairs\Grill Arm Chair Set of 2 with Table in Honey Finish\2_633a962a-b3a4-4098-b51f-4b0bc5c0acdf.png, downloaded_images\Chairs\Grill Arm Chair Set of 2 with Table in Honey Finish\Grill_chair_4f347fcb-83cd-4830-a3b7-829c4753477e.jpg, downloaded_images\Chairs\Grill Arm Chair Set of 2 with Table in Honey Finish\WhatsApp_Image_2025-05-13_at_2.19.53_PM_a81a2f80-3a7e-40fc-8323-303321ae755a.jpg"
Chairs,Plus Dining Chair with cushion in Honey Finish,5799.00,https://solidwooddecor.com/products/cushion-dining-chair,"https://cdn.shopify.com/s/files/1/0598/2375/1277/files/WhatsApp_Image_2025-05-23_at_4.33.12_PM.jpg?v=1748001415, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/2_df0221b2-381a-446f-be39-81f6bc80046f.png?v=1748001415, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/5_5794c5d4-2086-47d3-b668-cb142d91c6d0.png?v=1748001415, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/3_c2c71623-768e-472c-a0fd-d9eddf4c7a3d.png?v=1748001415, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/4_a9784294-519e-48af-8f26-ab5bc313067c.png?v=1748001415, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/6_20d06cc2-1cba-4721-9cb3-4e824f693643.png?v=1748001415, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/1_3633a60c-19bb-4967-bb63-56959c275a7c.png?v=1748001415, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/WhatsApp_Image_2025-10-11_at_5.35.36_PM.jpg?v=1760189126","downloaded_images\Chairs\Plus Dining Chair with cushion in Honey Finish\WhatsApp_Image_2025-05-23_at_4.33.12_PM.jpg, downloaded_images\Chairs\Plus Dining Chair with cushion in Honey Finish\2_df0221b2-381a-446f-be39-81f6bc80046f.png, downloaded_images\Chairs\Plus Dining Chair with cushion in Honey Finish\5_5794c5d4-2086-47d3-b668-cb142d91c6d0.png, downloaded_images\Chairs\Plus Dining Chair with cushion in Honey Finish\3_c2c71623-768e-472c-a0fd-d9eddf4c7a3d.png, downloaded_images\Chairs\Plus Dining Chair with cushion in Honey Finish\4_a9784294-519e-48af-8f26-ab5bc313067c.png, downloaded_images\Chairs\Plus Dining Chair with cushion in Honey Finish\6_20d06cc2-1cba-4721-9cb3-4e824f693643.png, downloaded_images\Chairs\Plus Dining Chair with cushion in Honey Finish\1_3633a60c-19bb-4967-bb63-56959c275a7c.png, downloaded_images\Chairs\Plus Dining Chair with cushion in Honey Finish\WhatsApp_Image_2025-10-11_at_5.35.36_PM.jpg"
Chairs,Rocking Arm Chair in Honey Finish,18499.00,https://solidwooddecor.com/products/swd-rocking-chair,"https://cdn.shopify.com/s/files/1/0598/2375/1277/files/WhatsApp_Image_2025-09-09_at_10.42.21_PM.jpg?v=1759757623, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/CQ3A0035.png?v=1759757623, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/CQ3A0038.png?v=1759757623, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/WhatsApp_Image_2025-07-22_at_6.25.42_PM.jpg?v=1759757623","downloaded_images\Chairs\Rocking Arm Chair in Honey Finish\WhatsApp_Image_2025-09-09_at_10.42.21_PM.jpg, downloaded_images\Chairs\Rocking Arm Chair in Honey Finish\CQ3A0035.png, downloaded_images\Chairs\Rocking Arm Chair in Honey Finish\CQ3A0038.png, downloaded_images\Chairs\Rocking Arm Chair in Honey Finish\WhatsApp_Image_2025-07-22_at_6.25.42_PM.jpg"
Chairs,Row Dining Chair in Honey Finish,5749.00,https://solidwooddecor.com/products/swd-row-dining-chair,"https://cdn.shopify.com/s/files/1/0598/2375/1277/files/CQ3A0821_1.webp?v=1740387128, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/CQ3A0820_1.webp?v=1745577406, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/phanti_chair.webp?v=1745577406","downloaded_images\Chairs\Row Dining Chair in Honey Finish\CQ3A0821_1.webp, downloaded_images\Chairs\Row Dining Chair in Honey Finish\CQ3A0820_1.webp, downloaded_images\Chairs\Row Dining Chair in Honey Finish\phanti_chair.webp"
Chairs,Rustic Dining Chair with Cushion in Honey Finish,6499.00,https://solidwooddecor.com/products/rustic-dining-chair-with-cushion-in-honey-finish,"https://cdn.shopify.com/s/files/1/0598/2375/1277/files/WhatsAppImage2025-05-23at7.34.39PM.jpg?v=1748011266, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/WhatsAppImage2025-05-23at7.34.35PM.jpg?v=1748011266, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/WhatsApp_Image_2025-05-26_at_3.39.24_PM.jpg?v=1748263108, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/WhatsApp_Image_2025-05-26_at_3.42.23_PM.jpg?v=1748263108, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/82_inch_6_52c33c6a-c98c-4d43-bb31-4bbad8af5d79.png?v=1749391176","downloaded_images\Chairs\Rustic Dining Chair with Cushion in Honey Finish\WhatsAppImage2025-05-23at7.34.39PM.jpg, downloaded_images\Chairs\Rustic Dining Chair with Cushion in Honey Finish\WhatsAppImage2025-05-23at7.34.35PM.jpg, downloaded_images\Chairs\Rustic Dining Chair with Cushion in Honey Finish\WhatsApp_Image_2025-05-26_at_3.39.24_PM.jpg, downloaded_images\Chairs\Rustic Dining Chair with Cushion in Honey Finish\WhatsApp_Image_2025-05-26_at_3.42.23_PM.jpg, downloaded_images\Chairs\Rustic Dining Chair with Cushion in Honey Finish\82_inch_6_52c33c6a-c98c-4d43-bb31-4bbad8af5d79.png"
Chairs,Spinner Arm Chair in Honey Finish,6999.00,https://solidwooddecor.com/products/10,"https://cdn.shopify.com/s/files/1/0598/2375/1277/files/WhatsApp_Image_2025-12-30_at_2.13.22_PM.jpg?v=1767084311, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/4_e17440db-4251-4f2e-9ea2-c233514edf10.png?v=1767084311, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/2_f9d8b7fa-e6d1-48a0-8f42-320b1f6475f7.png?v=1767084311, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/WhatsApp_Image_2025-05-12_at_4.44.16_PM.jpg?v=1767084311","downloaded_images\Chairs\Spinner Arm Chair in Honey Finish\WhatsApp_Image_2025-12-30_at_2.13.22_PM.jpg, downloaded_images\Chairs\Spinner Arm Chair in Honey Finish\4_e17440db-4251-4f2e-9ea2-c233514edf10.png, downloaded_images\Chairs\Spinner Arm Chair in Honey Finish\2_f9d8b7fa-e6d1-48a0-8f42-320b1f6475f7.png, downloaded_images\Chairs\Spinner Arm Chair in Honey Finish\WhatsApp_Image_2025-05-12_at_4.44.16_PM.jpg"
Chairs,Spinner Arm Chair Set of 2 with Table in Honey Finish,17599.00,https://solidwooddecor.com/products/swd-spiller-chairs-set,"https://cdn.shopify.com/s/files/1/0598/2375/1277/files/CQ3A0051.png?v=1740387661, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/CQ3A0055.png?v=1727764179, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/4_95728875-9e72-43d9-b3ac-30501a36da5a.png?v=1745578612, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/2_e9988fb6-78da-4f09-bb54-f566d5157687.png?v=1745578612, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/WhatsApp_Image_2025-05-12_at_4.44.16_PM_f13d20a9-9ceb-4ae8-9770-f895fd013a47.jpg?v=1747048729, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/WhatsApp_Image_2025-05-13_at_2.19.53_PM.jpg?v=1769079269","downloaded_images\Chairs\Spinner Arm Chair Set of 2 with Table in Honey Finish\CQ3A0051.png, downloaded_images\Chairs\Spinner Arm Chair Set of 2 with Table in Honey Finish\CQ3A0055.png, downloaded_images\Chairs\Spinner Arm Chair Set of 2 with Table in Honey Finish\4_95728875-9e72-43d9-b3ac-30501a36da5a.png, downloaded_images\Chairs\Spinner Arm Chair Set of 2 with Table in Honey Finish\2_e9988fb6-78da-4f09-bb54-f566d5157687.png, downloaded_images\Chairs\Spinner Arm Chair Set of 2 with Table in Honey Finish\WhatsApp_Image_2025-05-12_at_4.44.16_PM_f13d20a9-9ceb-4ae8-9770-f895fd013a47.jpg, downloaded_images\Chairs\Spinner Arm Chair Set of 2 with Table in Honey Finish\WhatsApp_Image_2025-05-13_at_2.19.53_PM.jpg"
Chairs,Squad Dining Chair in Honey Finish,5949.00,https://solidwooddecor.com/products/swd-squad-dining-chair,"https://cdn.shopify.com/s/files/1/0598/2375/1277/files/WhatsApp_Image_2025-05-14_at_2.43.51_PM.jpg?v=1747214869, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/WhatsApp_Image_2025-05-14_at_2.30.44_PM.jpg?v=1747214869, https://cdn.shopify.com/s/files/1/0598/2375/1277/files/chokri_chair_0f52874f-9f02-4ea3-b6f9-089099e72611.webp?v=1747214869","downloaded_images\Chairs\Squad Dining Chair in Honey Finish\WhatsApp_Image_2025-05-14_at_2.43.51_PM.jpg, downloaded_images\Chairs\Squad Dining Chair in Honey Finish\WhatsApp_Image_2025-05-14_at_2.30.44_PM.jpg, downloaded_images\Chairs\Squad Dining Chair in Honey Finish\chokri_chair_0f52874f-9f02-4ea3-b6f9-089099e72611.webp"
